date,province_thai,province_eng,region_thai,region_eng,variable,value
01-01-19,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.59
01-01-19,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.42
01-01-19,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,77.67
01-01-19,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,71.26
01-01-19,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,61.85
01-01-19,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,69.66
01-01-19,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,60.27
01-01-19,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,78.17
01-01-19,ศรีสะเกษ,Sisaket ,ภาคใต้,south,occupancy_rate,68.63
01-01-19,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,61.37
01-01-19,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,70.92
01-01-19,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,72.95
01-01-19,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,76.79
01-01-19,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,77.37
01-01-19,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,64.69
01-01-19,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,63.63
01-01-19,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.15
01-01-19,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,occupancy_rate,65.05
01-01-19,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,no_tourist_occupied,3334971
01-01-19,ลพบุรี,Lopburi ,ภาคกลาง,central,no_tourist_occupied,51858
01-01-19,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,no_tourist_occupied,117052
